'date_reported';'dr_no';'date_occ';'time_occ';'area';'area_name';'rd';'crime_no';'crime_desc';'status';'status_desc';'image_no'
'2014-September-10';142016108;'2012-April-01';800;20;'Olympic';2013;354;'THEFT OF IDENTITY';'IC';'Invest Cont';0
'2014-July-11';142100700;'2012-April-01';500;21;'Topanga';2146;310;'BURGLARY';'IC';'Invest Cont';844
'2014-February-04';141505827;'2012-March-30';1;15;'N Hollywood';1535;354;'THEFT OF IDENTITY';'IC';'Invest Cont';231
'2014-October-18';142018074;'2012-March-30';1;20;'Olympic';2073;649;'DOCUMENT FORGERY / STOLEN FELONY';'IC';'Invest Cont';158
'2014-December-09';141521721;'2012-March-29';800;15;'N Hollywood';1549;812;'CHILD, CRIME AGAINST';'JO';'Juv Other';563
'2014-February-25';141307036;'2012-March-28';1200;13;'Newton';1395;354;'THEFT OF IDENTITY';'IC';'Invest Cont';0
'2014-July-14';140411585;'2012-March-27';1200;4;'Hollenbeck';466;354;'THEFT OF IDENTITY';'IC';'Invest Cont';354
'2014-March-31';141209486;'2012-March-26';1130;12;'77th Street';1257;810;'SEX, UNLAWFUL';'IC';'Invest Cont';184
'2014-May-24';140113046;'2012-March-21';1000;1;'Central';135;930;'CRIMINAL THREATS - NO WEAPON DISPLAYED';'IC';'Invest Cont';40
'2014-January-07';141704301;'2012-March-20';1230;17;'Devonshire';1727;649;'DOCUMENT FORGERY / STOLEN FELONY';'IC';'Invest Cont';933
'2014-May-10';140210676;'2012-March-19';1200;2;'Rampart';271;354;'THEFT OF IDENTITY';'IC';'Invest Cont';135
'2014-August-12';140215694;'2012-March-19';800;2;'Rampart';217;354;'THEFT OF IDENTITY';'IC';'Invest Cont';41
'2014-January-16';140904806;'2012-March-18';800;9;'Van Nuys';952;354;'THEFT OF IDENTITY';'IC';'Invest Cont';0
'2014-December-08';140417689;'2012-March-17';1200;4;'Hollenbeck';428;354;'THEFT OF IDENTITY';'IC';'Invest Cont';243
'2014-April-03';140407664;'2012-March-16';1200;4;'Hollenbeck';457;440;'THEFT PLAIN - PETTY ($950 & UNDER)';'IC';'Invest Cont';298
'2014-January-02';140304136;'2012-March-15';1200;3;'Southwest';395;354;'THEFT OF IDENTITY';'IC';'Invest Cont';0
'2014-April-07';140508139;'2012-March-15';1200;5;'Harbor';528;812;'CHILD, CRIME AGAINST';'IC';'Invest Cont';0
'2014-September-09';141714845;'2012-March-15';2130;17;'Devonshire';1751;121;'RAPE, FORCIBLE';'IC';'Invest Cont';0
'2014-October-21';142018242;'2012-March-15';1200;20;'Olympic';2069;956;'LETTERS, LEWD';'IC';'Invest Cont';835
'2014-June-25';140314444;'2012-March-12';1200;3;'Southwest';312;354;'THEFT OF IDENTITY';'IC';'Invest Cont';0
'2014-August-15';140914733;'2012-March-12';800;9;'Van Nuys';964;354;'THEFT OF IDENTITY';'IC';'Invest Cont';0
'2014-May-02';141009129;'2012-March-12';1200;10;'West Valley';1047;341;'THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD';'IC';'Invest Cont';781
'2014-April-29';140610825;'2012-March-11';1;6;'Hollywood';621;946;'OTHER MISCELLANEOUS CRIME';'AO';'Adult Other';448
'2014-May-05';141213357;'2012-March-11';1;12;'77th Street';1283;812;'CHILD, CRIME AGAINST';'IC';'Invest Cont';316
'2014-December-04';140816801;'2012-March-09';1400;8;'West LA';831;354;'THEFT OF IDENTITY';'IC';'Invest Cont';663
'2014-October-04';141015877;'2012-March-06';1035;10;'West Valley';1019;354;'THEFT OF IDENTITY';'IC';'Invest Cont';565
'2014-March-07';141807194;'2012-March-06';1200;18;'Southeast';1802;354;'THEFT OF IDENTITY';'IC';'Invest Cont';879
'2014-July-14';141113380;'2012-March-02';1700;11;'Northeast';1162;341;'THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD';'IC';'Invest Cont';597
'2014-December-23';141227243;'2012-March-02';1200;12;'77th Street';1258;354;'THEFT OF IDENTITY';'IC';'Invest Cont';549
'2014-June-20';140613923;'2012-March-01';1200;6;'Hollywood';632;354;'THEFT OF IDENTITY';'AO';'Adult Other';410
'2014-November-15';140716312;'2012-March-01';1200;7;'Wilshire';749;354;'THEFT OF IDENTITY';'IC';'Invest Cont';201
'2014-February-18';140805788;'2012-March-01';2130;8;'West LA';816;121;'RAPE, FORCIBLE';'IC';'Invest Cont';481
'2014-March-02';140906974;'2012-March-01';1840;9;'Van Nuys';938;997;'TRAFFIC DR #';'IC';'Invest Cont';0
