'date_reported';'dr_no';'date_occ';'time_occ';'area';'area_name';'rd';'crime_no';'crime_desc';'status';'status_desc';'image_no'
'2014-August-01';141114373;'2014-August-02';2000;11;'Northeast';1195;331;'THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER)';'IC';'Invest Cont';0
'2014-July-31';141217572;'2014-August-01';1200;12;'77th Street';1252;930;'THREATS, VERBAL/TERRORIST';'IC';'Invest Cont';393
'2014-July-30';141916472;'2014-August-01';1800;19;'Mission';1998;420;'THEFT FROM MOTOR VEHICLE - PETTY ($950.01 & OVER)';'IC';'Invest Cont';136
'2014-July-29';140316678;'2014-July-30';1400;3;'Southwest';356;930;'THREATS, VERBAL/TERRORIST';'IC';'Invest Cont';197
'2014-July-29';141114235;'2014-July-30';2230;11;'Northeast';1113;330;'BURGLARY FROM VEHICLE';'IC';'Invest Cont';383
'2014-July-29';141114268;'2014-July-29';1850;11;'Northeast';1195;331;'THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER)';'IC';'Invest Cont';0
'2014-July-28';140712162;'2014-August-02';1430;7;'Wilshire';784;946;'OTHER MISCELLANEOUS CRIME';'IC';'Invest Cont';0
'2014-July-28';141114170;'2014-July-29';2200;11;'Northeast';1153;330;'BURGLARY FROM VEHICLE';'IC';'Invest Cont';966
'2014-July-28';141114197;'2014-July-29';2330;11;'Northeast';1141;420;'THEFT FROM MOTOR VEHICLE - PETTY ($950.01 & OVER)';'IC';'Invest Cont';277
'2014-July-28';141114207;'2014-July-29';1900;11;'Northeast';1141;410;'BURGLARY FROM VEHICLE, ATTEMPTED';'IC';'Invest Cont';549
'2014-July-28';142113368;'2014-July-28';1419;21;'Topanga';2155;901;'VIOLATION OF RESTRAINING ORDER';'IC';'Invest Cont';0
'2014-July-26';141218687;'2014-August-16';1245;12;'77th Street';1211;900;'VIOLATION OF COURT ORDER';'IC';'Invest Cont';697
'2014-July-25';141114018;'2014-July-26';2300;11;'Northeast';1142;330;'BURGLARY FROM VEHICLE';'IC';'Invest Cont';896
'2014-July-25';141419276;'2014-July-26';1410;14;'Pacific';1494;341;'THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD';'IC';'Invest Cont';275
'2014-July-25';142014131;'2014-July-31';1000;20;'Olympic';2079;440;'THEFT PLAIN - PETTY ($950 & UNDER)';'IC';'Invest Cont';188
'2014-July-24';141217271;'2014-July-27';953;12;'77th Street';1231;956;'LETTERS, LEWD';'IC';'Invest Cont';0
'2014-January-28';141418559;'2014-July-17';1200;14;'Pacific';1408;341;'THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD';'IC';'Invest Cont';151
'2014-July-22';141814332;'2014-July-22';1245;18;'Southeast';1823;901;'VIOLATION OF RESTRAINING ORDER';'IC';'Invest Cont';957
'2014-July-20';141418693;'2014-July-20';1555;14;'Pacific';1400;997;'TRAFFIC DR #';'IC';'Invest Cont';405
'2014-July-19';140512260;'2014-July-19';5;5;'Harbor';551;930;'THREATS, VERBAL/TERRORIST';'IC';'Invest Cont';471
'2014-July-19';141216728;'2014-July-19';1905;12;'77th Street';1266;997;'TRAFFIC DR #';'IC';'Invest Cont';0
'2014-July-19';141916068;'2014-July-26';1600;19;'Mission';1905;341;'THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD';'IC';'Invest Cont';969
'2014-July-18';141113641;'2014-July-19';2210;11;'Northeast';1132;997;'TRAFFIC DR #';'IC';'Invest Cont';99
'2014-July-18';141713199;'2014-August-01';30;17;'Devonshire';1721;330;'BURGLARY FROM VEHICLE';'IC';'Invest Cont';56
'2014-July-17';141113579;'2014-July-18';1700;11;'Northeast';1152;330;'BURGLARY FROM VEHICLE';'IC';'Invest Cont';961
'2014-January-22';140305240;'2014-January-22';1020;3;'Southwest';392;997;'TRAFFIC DR #';'IC';'Invest Cont';984
'2014-July-16';140315935;'2014-July-18';800;3;'Southwest';376;440;'THEFT PLAIN - PETTY ($950 & UNDER)';'IC';'Invest Cont';280
'2014-July-16';141814283;'2014-July-22';1030;18;'Southeast';1801;930;'THREATS, VERBAL/TERRORIST';'IC';'Invest Cont';785
'2014-July-15';140615879;'2014-July-21';12;6;'Hollywood';663;440;'THEFT PLAIN - PETTY ($950 & UNDER)';'IC';'Invest Cont';105
'2014-July-15';141113438;'2014-July-15';1445;11;'Northeast';1142;330;'BURGLARY FROM VEHICLE';'IC';'Invest Cont';238
'2014-July-15';141113557;'2014-July-17';1700;11;'Northeast';1141;330;'BURGLARY FROM VEHICLE';'IC';'Invest Cont';863
'2014-July-14';141113411;'2014-July-15';1200;11;'Northeast';1149;341;'THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD';'IC';'Invest Cont';389
'2014-July-13';141514121;'2014-July-17';1300;15;'N Hollywood';1544;813;'CHILD ENDANGERMENT/NEG.';'IC';'Invest Cont';182
'2014-July-13';141713288;'2014-August-04';800;17;'Devonshire';1794;510;'VEHICLE - STOLEN';'IC';'Invest Cont';672
'2014-July-12';140512135;'2014-July-15';1400;5;'Harbor';551;354;'THEFT OF IDENTITY';'IC';'Invest Cont';32
'2014-January-16';141205186;'2014-January-21';1800;12;'77th Street';1253;510;'VEHICLE - STOLEN';'IC';'Invest Cont';625
'2014-January-15';140614561;'2014-July-01';1100;6;'Hollywood';645;649;'DOCUMENT FORGERY / STOLEN FELONY';'IC';'Invest Cont';0
'2014-July-10';141013868;'2014-August-20';1300;10;'West Valley';1001;341;'THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD';'IC';'Invest Cont';521
'2014-July-10';141813750;'2014-July-10';1520;18;'Southeast';1871;997;'TRAFFIC DR #';'IC';'Invest Cont';0
'2014-July-08';140316215;'2014-July-21';1400;3;'Southwest';337;341;'THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD';'IC';'Invest Cont';0
'2014-July-08';141113525;'2014-July-16';1900;11;'Northeast';1138;813;'CHILD ENDANGERMENT/NEG.';'IC';'Invest Cont';405
'2014-July-08';141513744;'2014-July-08';1245;15;'N Hollywood';1585;341;'THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD';'IC';'Invest Cont';777
'2014-July-07';141113088;'2014-July-08';1845;11;'Northeast';1136;330;'BURGLARY FROM VEHICLE';'IC';'Invest Cont';526
'2014-July-07';142012839;'2014-July-07';1520;20;'Olympic';2073;997;'TRAFFIC DR #';'IC';'Invest Cont';0
'2014-July-06';140812291;'2014-August-13';2100;8;'West LA';806;341;'THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD';'IC';'Invest Cont';0
'2014-January-11';140604753;'2014-January-11';1530;6;'Hollywood';632;901;'VIOLATION OF RESTRAINING ORDER';'IC';'Invest Cont';245
'2014-July-06';141113030;'2014-July-07';2030;11;'Northeast';1152;410;'BURGLARY FROM VEHICLE, ATTEMPTED';'IC';'Invest Cont';705
'2014-January-10';140104762;'2014-January-13';1200;1;'Central';132;510;'VEHICLE - STOLEN';'IC';'Invest Cont';0
'2014-July-05';141013065;'2014-August-01';1000;10;'West Valley';1004;341;'THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD';'IC';'Invest Cont';572
'2014-July-04';140213567;'2014-July-04';617;2;'Rampart';246;624;'BATTERY - SIMPLE ASSAULT';'IC';'Invest Cont';932
'2014-January-08';141504452;'2014-January-08';2200;15;'N Hollywood';1583;997;'TRAFFIC DR #';'IC';'Invest Cont';766
'2014-July-01';141112783;'2014-July-03';1500;11;'Northeast';1141;330;'BURGLARY FROM VEHICLE';'IC';'Invest Cont';934
'2014-January-05';141204267;'2014-January-05';1840;12;'77th Street';1267;997;'TRAFFIC DR #';'IC';'Invest Cont';507
'2014-January-05';141411094;'2014-April-07';1045;14;'Pacific';1494;341;'THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD';'IC';'Invest Cont';239
'2014-January-04';42104479;'2014-January-11';2300;21;'Topanga';2133;745;'VANDALISM - MISDEAMEANOR ($399 OR UNDER)';'IC';'Invest Cont';0
'2014-June-29';141611067;'2014-July-12';1;16;'Foothill';1684;121;'RAPE, FORCIBLE';'IC';'Invest Cont';298
'2014-June-28';140314651;'2014-June-28';2315;3;'Southwest';377;230;'ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT';'AO';'Adult Other';816
'2014-June-26';140216438;'2014-August-25';800;2;'Rampart';275;922;'CHILD STEALING';'IC';'Invest Cont';849
'2014-June-26';141112472;'2014-June-27';2230;11;'Northeast';1135;330;'BURGLARY FROM VEHICLE';'IC';'Invest Cont';355
'2014-June-26';141200740;'2014-June-26';2030;12;'77th Street';1263;997;'TRAFFIC DR #';'IC';'Invest Cont';932
'2014-June-25';141011423;'2014-June-27';1845;10;'West Valley';1029;440;'THEFT PLAIN - PETTY ($950 & UNDER)';'IC';'Invest Cont';0
'2014-June-24';141112339;'2014-June-24';1315;11;'Northeast';1142;420;'THEFT FROM MOTOR VEHICLE - PETTY ($950.01 & OVER)';'IC';'Invest Cont';0
'2014-June-20';140212831;'2014-June-20';2145;2;'Rampart';246;624;'BATTERY - SIMPLE ASSAULT';'IC';'Invest Cont';95
'2014-June-20';141112185;'2014-June-21';2330;11;'Northeast';1162;420;'THEFT FROM MOTOR VEHICLE - PETTY ($950.01 & OVER)';'IC';'Invest Cont';0
'2014-June-20';141112238;'2014-June-22';1900;11;'Northeast';1144;330;'BURGLARY FROM VEHICLE';'IC';'Invest Cont';810
'2014-June-20';142012003;'2014-June-20';1750;20;'Olympic';2029;440;'THEFT PLAIN - PETTY ($950 & UNDER)';'IC';'Invest Cont';634
'2014-June-18';140512549;'2014-July-25';1200;5;'Harbor';508;310;'BURGLARY';'IC';'Invest Cont';364
'2014-June-17';141112088;'2014-June-18';2000;11;'Northeast';1132;330;'BURGLARY FROM VEHICLE';'IC';'Invest Cont';681
'2014-June-15';141111981;'2014-June-16';1900;11;'Northeast';1132;330;'BURGLARY FROM VEHICLE';'IC';'Invest Cont';789
'2014-June-15';142014103;'2014-July-31';900;20;'Olympic';2063;354;'THEFT OF IDENTITY';'IC';'Invest Cont';0
'2014-June-14';141111841;'2014-June-14';1130;11;'Northeast';1101;330;'BURGLARY FROM VEHICLE';'AO';'Adult Other';376
'2014-June-14';141111842;'2014-June-14';1200;11;'Northeast';1101;330;'BURGLARY FROM VEHICLE';'AA';'Adult Arrest';688
'2014-June-14';141111843;'2014-June-14';1200;11;'Northeast';1101;330;'BURGLARY FROM VEHICLE';'AA';'Adult Arrest';730
'2014-June-14';141111894;'2014-June-15';1500;11;'Northeast';1132;410;'BURGLARY FROM VEHICLE, ATTEMPTED';'IC';'Invest Cont';297
'2014-June-14';141111913;'2014-June-15';2330;11;'Northeast';1132;330;'BURGLARY FROM VEHICLE';'IC';'Invest Cont';862
'2014-June-13';141512493;'2014-June-14';2200;15;'N Hollywood';1531;510;'VEHICLE - STOLEN';'IC';'Invest Cont';749
'2014-June-12';142112878;'2014-July-17';800;21;'Topanga';2158;662;'BUNCO, GRAND THEFT';'IC';'Invest Cont';414
'2014-June-11';140212647;'2014-June-17';1200;2;'Rampart';251;901;'VIOLATION OF RESTRAINING ORDER';'IC';'Invest Cont';702
'2014-June-10';141916984;'2014-August-11';1030;19;'Mission';1919;310;'BURGLARY';'IC';'Invest Cont';947
'2014-June-07';141801003;'2014-June-08';1930;18;'Southeast';1806;910;'KIDNAPPING';'IC';'Invest Cont';687
'2014-June-05';140410551;'2014-June-05';1230;4;'Hollenbeck';479;910;'KIDNAPPING';'IC';'Invest Cont';867
'2014-June-03';140410481;'2014-June-17';1100;4;'Hollenbeck';468;649;'DOCUMENT FORGERY / STOLEN FELONY';'IC';'Invest Cont';916
'2014-June-03';141111355;'2014-June-04';2100;11;'Northeast';1184;420;'THEFT FROM MOTOR VEHICLE - PETTY ($950.01 & OVER)';'IC';'Invest Cont';775
'2014-May-31';141111161;'2014-June-01';1900;11;'Northeast';1132;330;'BURGLARY FROM VEHICLE';'IC';'Invest Cont';472
'2014-May-27';141111079;'2014-May-30';1800;11;'Northeast';1181;331;'THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER)';'IC';'Invest Cont';98
'2014-May-22';141811093;'2014-May-22';1740;18;'Southeast';1803;997;'TRAFFIC DR #';'IC';'Invest Cont';0
'2014-May-21';140809681;'2014-June-04';950;8;'West LA';822;440;'THEFT PLAIN - PETTY ($950 & UNDER)';'IC';'Invest Cont';46
'2014-May-21';141100729;'2014-May-21';520;11;'Northeast';1153;122;'RAPE, ATTEMPTED';'IC';'Invest Cont';453
'2014-May-21';141811031;'2014-May-21';1630;18;'Southeast';1802;997;'TRAFFIC DR #';'IC';'Invest Cont';0
'2014-May-21';141811032;'2014-May-21';1630;18;'Southeast';1802;997;'TRAFFIC DR #';'AA';'Adult Arrest';642
'2014-May-19';140316228;'2014-July-22';1700;3;'Southwest';392;341;'THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD';'IC';'Invest Cont';516
'2014-May-17';141414042;'2014-May-18';930;14;'Pacific';1434;440;'THEFT PLAIN - PETTY ($950 & UNDER)';'IC';'Invest Cont';430
'2014-May-13';141110348;'2014-May-14';1848;11;'Northeast';1145;331;'THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER)';'IC';'Invest Cont';509
'2014-May-11';140311646;'2014-May-12';1600;3;'Southwest';363;440;'THEFT PLAIN - PETTY ($950 & UNDER)';'IC';'Invest Cont';448
'2014-May-10';141110210;'2014-May-11';1900;11;'Northeast';1136;420;'THEFT FROM MOTOR VEHICLE - PETTY ($950.01 & OVER)';'IC';'Invest Cont';447
'2014-May-09';141110189;'2014-May-10';1900;11;'Northeast';1144;331;'THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER)';'IC';'Invest Cont';65
'2014-May-07';141608559;'2014-May-07';2100;16;'Foothill';1641;997;'TRAFFIC DR #';'IC';'Invest Cont';0
'2014-May-07';141810318;'2014-May-07';1745;18;'Southeast';1805;997;'TRAFFIC DR #';'IC';'Invest Cont';549
'2014-May-02';140311434;'2014-May-07';1045;3;'Southwest';357;440;'THEFT PLAIN - PETTY ($950 & UNDER)';'IC';'Invest Cont';479
'2014-May-01';140313064;'2014-June-03';1200;3;'Southwest';355;664;'BUNCO, PETTY THEFT';'IC';'Invest Cont';204
'2014-April-30';140508927;'2014-April-30';600;5;'Harbor';557;230;'ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT';'IC';'Invest Cont';141
'2014-April-30';141211392;'2014-April-30';715;12;'77th Street';1266;761;'BRANDISH WEAPON';'IC';'Invest Cont';838
'2014-April-28';141109621;'2014-April-29';1800;11;'Northeast';1171;330;'BURGLARY FROM VEHICLE';'IC';'Invest Cont';0
'2014-April-28';141400660;'2014-April-29';600;14;'Pacific';1452;440;'THEFT PLAIN - PETTY ($950 & UNDER)';'IC';'Invest Cont';272
'2014-April-28';141412668;'2014-April-29';2300;14;'Pacific';1489;341;'THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD';'IC';'Invest Cont';538
'2014-April-27';141109560;'2014-April-28';1830;11;'Northeast';1123;420;'THEFT FROM MOTOR VEHICLE - PETTY ($950.01 & OVER)';'IC';'Invest Cont';0
'2014-April-27';141109620;'2014-April-29';2100;11;'Northeast';1123;420;'THEFT FROM MOTOR VEHICLE - PETTY ($950.01 & OVER)';'IC';'Invest Cont';865
'2014-April-26';141916165;'2014-July-28';1200;19;'Mission';1966;510;'VEHICLE - STOLEN';'IC';'Invest Cont';423
'2014-April-23';141109350;'2014-April-24';2000;11;'Northeast';1116;420;'THEFT FROM MOTOR VEHICLE - PETTY ($950.01 & OVER)';'IC';'Invest Cont';213
'2014-April-23';141600904;'2014-April-23';2030;16;'Foothill';1623;251;'SHOTS FIRED AT INHABITED DWELLING';'IC';'Invest Cont';961
'2014-April-23';141600905;'2014-April-23';2025;16;'Foothill';1623;740;'VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)';'IC';'Invest Cont';0
'2014-April-23';141600906;'2014-April-23';2025;16;'Foothill';1623;740;'VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)';'IC';'Invest Cont';0
'2014-April-23';141600907;'2014-April-23';2025;16;'Foothill';1623;251;'SHOTS FIRED AT INHABITED DWELLING';'IC';'Invest Cont';156
'2014-April-20';141411992;'2014-April-20';1920;14;'Pacific';1489;649;'DOCUMENT FORGERY / STOLEN FELONY';'IC';'Invest Cont';843
'2014-April-18';141111410;'2014-June-03';1700;11;'Northeast';1109;121;'RAPE, FORCIBLE';'IC';'Invest Cont';47
'2014-April-15';140313572;'2014-June-10';1200;3;'Southwest';395;440;'THEFT PLAIN - PETTY ($950 & UNDER)';'IC';'Invest Cont';533
'2014-April-15';141211421;'2014-May-01';900;12;'77th Street';1258;230;'ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT';'IC';'Invest Cont';75
'2014-April-12';141411509;'2014-April-14';2020;14;'Pacific';1467;121;'RAPE, FORCIBLE';'IC';'Invest Cont';0
'2014-April-09';141108725;'2014-April-09';1730;11;'Northeast';1195;330;'BURGLARY FROM VEHICLE';'IC';'Invest Cont';884
'2014-April-09';141411356;'2014-April-11';600;14;'Pacific';1464;997;'TRAFFIC DR #';'IC';'Invest Cont';993
'2014-April-08';141108692;'2014-April-09';2300;11;'Northeast';1148;420;'THEFT FROM MOTOR VEHICLE - PETTY ($950.01 & OVER)';'IC';'Invest Cont';0
'2014-April-07';141411130;'2014-April-07';1710;14;'Pacific';1412;440;'THEFT PLAIN - PETTY ($950 & UNDER)';'IC';'Invest Cont';801
'2014-April-06';141008178;'2014-April-08';2000;10;'West Valley';1075;661;'UNAUTHORIZED COMPUTER ACCESS';'IC';'Invest Cont';512
'2014-April-05';140807860;'2014-April-12';1800;8;'West LA';897;745;'VANDALISM - MISDEAMEANOR ($399 OR UNDER)';'IC';'Invest Cont';675
'2014-March-29';140212345;'2014-June-11';1200;2;'Rampart';216;235;'CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT';'IC';'Invest Cont';453
'2014-March-29';141209384;'2014-March-29';1830;12;'77th Street';1255;997;'TRAFFIC DR #';'IC';'Invest Cont';160
'2014-March-28';140507529;'2014-March-28';1055;5;'Harbor';516;997;'TRAFFIC DR #';'IC';'Invest Cont';294
'2014-March-28';140507548;'2014-March-28';1845;5;'Harbor';589;997;'TRAFFIC DR #';'IC';'Invest Cont';0
'2014-March-27';141308756;'2014-March-28';1915;13;'Newton';1365;997;'TRAFFIC DR #';'IC';'Invest Cont';412
'2014-March-25';142107734;'2014-March-26';1830;21;'Topanga';2126;997;'TRAFFIC DR #';'IC';'Invest Cont';682
'2014-March-21';140309360;'2014-April-04';127;3;'Southwest';338;740;'VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)';'IC';'Invest Cont';247
'2014-March-20';141606796;'2014-March-21';1900;16;'Foothill';1681;510;'VEHICLE - STOLEN';'IC';'Invest Cont';709
'2014-March-16';141308108;'2014-March-16';1530;13;'Newton';1347;510;'VEHICLE - STOLEN';'UNK';'Unknown';0
'2014-March-15';140806849;'2014-March-19';2230;8;'West LA';831;930;'THREATS, VERBAL/TERRORIST';'IC';'Invest Cont';20
'2014-March-15';141414291;'2014-May-21';1330;14;'Pacific';1483;810;'SEX, UNLAWFUL';'IC';'Invest Cont';545
'2014-March-13';141315628;'2014-July-31';1;13;'Newton';1321;946;'OTHER MISCELLANEOUS CRIME';'IC';'Invest Cont';493
'2014-March-10';141908066;'2014-March-13';845;19;'Mission';1981;997;'TRAFFIC DR #';'IC';'Invest Cont';143
'2014-March-07';141706919;'2014-March-07';1030;17;'Devonshire';1701;440;'THEFT PLAIN - PETTY ($950 & UNDER)';'IC';'Invest Cont';0
'2014-March-07';142107556;'2014-March-21';1100;21;'Topanga';2126;341;'THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD';'IC';'Invest Cont';659
'2014-March-03';141907550;'2014-March-03';1655;19;'Mission';1915;997;'TRAFFIC DR #';'IC';'Invest Cont';352
'2014-March-01';141006460;'2014-March-02';1745;10;'West Valley';1063;997;'TRAFFIC DR #';'IC';'Invest Cont';62
'2014-September-06';140101208;'2014-September-06';1000;2;'Rampart';249;230;'ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT';'IC';'Invest Cont';0
'2014-September-06';141219931;'2014-September-06';2100;12;'77th Street';1283;510;'VEHICLE - STOLEN';'IC';'Invest Cont';0
'2014-September-06';141422705;'2014-September-06';940;14;'Pacific';1493;997;'TRAFFIC DR #';'IC';'Invest Cont';0
'2014-September-06';141918481;'2014-September-06';1300;19;'Mission';1954;440;'THEFT PLAIN - PETTY ($950 & UNDER)';'IC';'Invest Cont';446
'2014-September-05';140319128;'2014-September-06';115;3;'Southwest';373;624;'BATTERY - SIMPLE ASSAULT';'IC';'Invest Cont';73
'2014-September-05';140319151;'2014-September-06';1000;3;'Southwest';391;440;'THEFT PLAIN - PETTY ($950 & UNDER)';'IC';'Invest Cont';0
'2014-September-05';140713555;'2014-September-07';2230;7;'Wilshire';719;330;'BURGLARY FROM VEHICLE';'IC';'Invest Cont';0
'2014-September-05';140915718;'2014-September-05';900;9;'Van Nuys';935;440;'THEFT PLAIN - PETTY ($950 & UNDER)';'IC';'Invest Cont';121
'2014-September-05';140915725;'2014-September-05';855;9;'Van Nuys';926;440;'THEFT PLAIN - PETTY ($950 & UNDER)';'IC';'Invest Cont';879
'2014-September-05';140915741;'2014-September-06';1500;9;'Van Nuys';923;664;'BUNCO, PETTY THEFT';'IC';'Invest Cont';292
'2014-September-05';141116154;'2014-September-06';1130;11;'Northeast';1136;510;'VEHICLE - STOLEN';'IC';'Invest Cont';178
'2014-September-05';141317562;'2014-September-05';1500;13;'Newton';1307;440;'THEFT PLAIN - PETTY ($950 & UNDER)';'IC';'Invest Cont';271
'2014-September-05';141613368;'2014-September-07';1900;16;'Foothill';1677;310;'BURGLARY';'IC';'Invest Cont';972
'2014-September-05';141714654;'2014-September-05';845;17;'Devonshire';1716;662;'BUNCO, GRAND THEFT';'IC';'Invest Cont';0
'2014-September-04';140713635;'2014-September-08';1500;7;'Wilshire';762;946;'OTHER MISCELLANEOUS CRIME';'IC';'Invest Cont';30
'2014-September-04';140915642;'2014-September-04';1245;9;'Van Nuys';966;740;'VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)';'IC';'Invest Cont';728
'2014-September-04';141422583;'2014-September-04';1245;14;'Pacific';1494;341;'THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD';'IC';'Invest Cont';0
'2014-September-04';141901068;'2014-September-04';1950;19;'Mission';1962;210;'ROBBERY';'IC';'Invest Cont';321
'2014-September-04';142015854;'2014-September-04';1900;20;'Olympic';2019;230;'ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT';'IC';'Invest Cont';621
'2014-September-03';140216949;'2014-September-04';1350;2;'Rampart';249;330;'BURGLARY FROM VEHICLE';'IC';'Invest Cont';638
'2014-September-03';140514356;'2014-September-04';1830;5;'Harbor';587;813;'CHILD ENDANGERMENT/NEG.';'IC';'Invest Cont';406
'2014-September-03';140514372;'2014-September-03';830;5;'Harbor';507;930;'THREATS, VERBAL/TERRORIST';'IC';'Invest Cont';878
'2014-September-03';141014446;'2014-September-03';1445;10;'West Valley';1008;624;'BATTERY - SIMPLE ASSAULT';'IC';'Invest Cont';0
'2014-September-03';141516609;'2014-September-03';1715;15;'N Hollywood';1548;745;'VANDALISM - MISDEAMEANOR ($399 OR UNDER)';'IC';'Invest Cont';587
'2014-September-02';140618613;'2014-September-06';800;6;'Hollywood';678;341;'THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD';'IC';'Invest Cont';0
'2014-September-02';141219674;'2014-September-02';1800;12;'77th Street';1265;626;'SPOUSAL(COHAB) ABUSE - SIMPLE ASSAULT';'IC';'Invest Cont';379
'2014-September-02';141317530;'2014-September-05';915;13;'Newton';1351;420;'THEFT FROM MOTOR VEHICLE - PETTY ($950.01 & OVER)';'IC';'Invest Cont';310
'2014-September-01';140318799;'2014-September-01';200;3;'Southwest';325;121;'RAPE, FORCIBLE';'IC';'Invest Cont';850
'2014-September-01';141516510;'2014-September-01';2030;15;'N Hollywood';1504;901;'VIOLATION OF RESTRAINING ORDER';'IC';'Invest Cont';671
'2014-August-31';140618545;'2014-September-05';1500;6;'Hollywood';648;230;'ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT';'IC';'Invest Cont';485
'2014-August-31';141219510;'2014-August-31';1300;12;'77th Street';1231;510;'VEHICLE - STOLEN';'IC';'Invest Cont';296
'2014-August-31';141422290;'2014-August-31';415;14;'Pacific';1469;997;'TRAFFIC DR #';'IC';'Invest Cont';662
'2014-August-31';141516491;'2014-August-31';2345;15;'N Hollywood';1514;624;'BATTERY - SIMPLE ASSAULT';'IC';'Invest Cont';421
'2014-August-30';141317730;'2014-September-01';2000;13;'Newton';1395;330;'BURGLARY FROM VEHICLE';'IC';'Invest Cont';171
'2014-August-30';141816379;'2014-August-30';1930;18;'Southeast';1822;230;'ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT';'IC';'Invest Cont';743
'2014-August-30';142114932;'2014-September-01';1930;21;'Topanga';2136;310;'BURGLARY';'IC';'Invest Cont';0
'2014-August-29';140120135;'2014-August-29';500;1;'Central';185;510;'VEHICLE - STOLEN';'IC';'Invest Cont';246
'2014-August-29';140217055;'2014-September-05';800;2;'Rampart';203;480;'BIKE - STOLEN';'IC';'Invest Cont';751
'2014-August-29';140618615;'2014-September-06';2330;6;'Hollywood';632;341;'THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD';'IC';'Invest Cont';369
'2014-August-29';141422172;'2014-August-29';200;14;'Pacific';1446;997;'TRAFFIC DR #';'IC';'Invest Cont';0
'2014-August-29';141613009;'2014-August-30';2000;16;'Foothill';1687;510;'VEHICLE - STOLEN';'IC';'Invest Cont';183
'2014-August-29';141918249;'2014-September-03';1200;19;'Mission';1972;341;'THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD';'IC';'Invest Cont';636
'2014-August-28';141613388;'2014-September-08';800;16;'Foothill';1622;331;'THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER)';'IC';'Invest Cont';0
'2014-August-28';142114814;'2014-August-28';430;21;'Topanga';2111;740;'VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)';'IC';'Invest Cont';302
'2014-August-27';140618537;'2014-September-05';1700;6;'Hollywood';669;510;'VEHICLE - STOLEN';'IC';'Invest Cont';149
'2014-August-27';141421986;'2014-August-27';1330;14;'Pacific';1457;997;'TRAFFIC DR #';'IC';'Invest Cont';92
'2014-August-27';141516372;'2014-August-30';2200;15;'N Hollywood';1549;662;'BUNCO, GRAND THEFT';'IC';'Invest Cont';119
'2014-August-27';141612962;'2014-August-28';2300;16;'Foothill';1684;330;'BURGLARY FROM VEHICLE';'IC';'Invest Cont';324
'2014-August-27';142015463;'2014-August-27';1700;20;'Olympic';2027;900;'VIOLATION OF COURT ORDER';'IC';'Invest Cont';765
'2014-August-26';141014326;'2014-September-01';2200;10;'West Valley';1045;330;'BURGLARY FROM VEHICLE';'IC';'Invest Cont';534
